name,price,quantity,brand,category,entry_date
Laptop,850,15,Dell,Electrónica,2023-09-12
Teclado,25,50,Logitech,Accesorios,2023-08-05
Mouse,18,60,Razer,Accesorios,2023-07-22
Monitor,300,20,Samsung,Electrónica,2023-06-15
Auriculares,45,40,Sony,Audio,2023-09-01
Teléfono,600,25,Apple,Electrónica,2023-05-30
Tablet,450,10,Lenovo,Electrónica,2023-10-10
Cargador,30,70,Xiaomi,Accesorios,2023-08-20
Impresora,150,12,HP,Electrónica,2023-04-25
Silla Gamer,220,18,Razer,Muebles,2023-06-05
Mousepad,15,80,Logitech,Accesorios,2023-07-19
Smartwatch,320,22,Apple,Electrónica,2023-09-29
Cable HDMI,10,100,Belkin,Accesorios,2023-11-10
Disco Duro,95,35,Seagate,Almacenamiento,2023-03-11
SSD,130,28,Kingston,Almacenamiento,2023-05-05
Memoria RAM,80,30,Corsair,Componentes,2023-07-07
Tarjeta Gráfica,700,5,NVIDIA,Componentes,2023-10-30
Webcam,60,20,Logitech,Accesorios,2023-04-22
Micrófono,110,15,Blue,Audio,2023-06-12
Router,90,25,TP-Link,Redes,2023-08-15
Disco Duro Externo,150,18,Western Digital,Almacenamiento,2023-09-05
Lámpara LED,35,50,Philips,Hogar,2023-11-01
Cámara de Seguridad,200,12,Xiaomi,Hogar,2023-12-03
Tostadora,75,8,Black+Decker,Hogar,2023-05-11
Batidora,55,14,Oster,Hogar,2023-06-21
Cafetera,120,9,Nespresso,Hogar,2023-07-30
Licuadora,95,10,Oster,Hogar,2023-04-17
Parlante Bluetooth,180,20,JBL,Audio,2023-08-09
Ventilador,65,15,Imaco,Hogar,2023-07-15
Aire Acondicionado,400,7,LG,Hogar,2023-05-20
Refrigerador,1200,5,Whirlpool,Hogar,2023-06-30
Horno Microondas,250,6,Panasonic,Hogar,2023-09-12
Televisor,900,10,Samsung,Electrónica,2023-03-15
Consola,500,12,Sony,Electrónica,2023-11-05
Bicicleta,750,4,Trek,Deportes,2023-04-10
Drone,950,7,DJI,Electrónica,2023-07-01
Smart TV,1000,8,LG,Electrónica,2023-06-10
Lentes VR,650,6,Meta,Electrónica,2023-09-20
Patineta Eléctrica,850,9,Xiaomi,Deportes,2023-10-05
Power Bank,45,40,Anker,Accesorios,2023-03-22
Libro,25,100,Planeta,Educación,2023-08-11
E-Reader,130,18,Amazon,Electrónica,2023-09-08
Estuche,20,60,Spigen,Accesorios,2023-05-09
Batería Externa,55,35,Sony,Accesorios,2023-10-11
Teclado Mecánico,180,10,Razer,Accesorios,2023-11-12
Silla de Oficina,250,15,Ergo,Muebles,2023-07-25
Cámara Fotográfica,700,6,Canon,Electrónica,2023-09-14
Memoria USB,20,90,SanDisk,Almacenamiento,2023-10-23
Lámpara de Escritorio,40,25,Philips,Hogar,2023-08-30
Papelera,15,40,Office Depot,Oficina,2023-05-03
Reloj de Pared,55,20,Seiko,Hogar,2023-07-18
Estufa,580,7,Mabe,Hogar,2023-11-02
Plancha,95,15,Philips,Hogar,2023-06-14
Mesa,300,5,IKEA,Muebles,2023-04-07
Sofá,800,3,IKEA,Muebles,2023-05-18
